Gary Trousdale
Kirk Wise
Danny Leiner
Enrico Casarosa
Terry Gilliam
Ang Lee
Annabel Jankel
Rocky Morton
Sylvester Stallone
Simon West
Peter Farrelly
Torquil Jones
Randall Wallace
Cary Joji Fukunaga
Takashi Yamazaki
Hendel Butoy
Mike Gabriel
Scott Beck
Bryan Woods
Bobby Farrelly
Bibo Bergeron
Rob Letterman
Wes Ball
Rawson Marshall Thurber
Pierre Coffin
Chris Renaud
Roger Allers
Don Bluth
Byron Howard
Rich Moore
Jared Bush
Kevin Macdonald
Chris Weitz
Nathan Greno
Satoshi Kon
Mark Dindal
Isao Takahata
Claude Barras
Steve Box
Nick Park
Katsuhiro Ôtomo
Dean DeBlois
Kevin Lima
Henry Selick
Haruo Sotozaki
Sam Fell
Jeff Newitt
Conrad Vernon
Greg Tiernan
Mamoru Oshii
Brandon Vietti
Peter Chung
Andrew R. Jones
Chris Williams
Wes Anderson
Peter Lord
Eric Goldberg
Vincent Paronnaud
Marjane Satrapi
Mark Burton
Richard Starzak
Dean Fleischer Camp
Sergio Pablos
Carlos Martínez López
Tim Burton
William Cottrell
DK Welchman
Hugh Welchman
Chris Butler
Duke Johnson
Charlie Kaufman
Ronnie Del Carmen
Mark Osborne
Joe Pytka
Mark Gustafson
Richard Linklater
Gary Goldman
Hideaki Anno
Kazuya Tsurumaki
Kelly Asbury
Jan Pinkava
Larry Roemer
Adrian Molina
Graham Annable
Anthony Stacchi
Mike Johnson
Adam Elliot
Mori Masaki
Shunsuke Tada
Naoyuki Itô
Masayuki Kojima
Seiji Mizushima
Tomoki Kyôda
Sunghoo Park
Kôji Sawai
Hiroyuki Imaishi
Yasuhiro Geshi
Hiroshi Ikehata
Shinji Aramaki
White-K
Taito Ban
Dorothy Elias-Fahn
Makoto Shinkai
Yuzuru Tachikawa
Michael Arias
Hiroaki Andô
Nelson Shin
Kunihiko Ikuhara
Shingo Kaneko
Katsushi Sakurabi
Naoko Yamada
Takuya Yamamura
Atsuko Ishizuka
Yoshiaki Kyôgoku
Takaomi Kanasaki
Toshiyuki Kubooka
Eisaku Kawanami
Kôichi Chigira
Yoshikazu Yasuhiko
Morio Asaka
Kôtarô Tamura
Takahiro Ômori
Mahiro Maeda
Katsuichi Nakayama
Kôji Aritomi
Takuya Satô
Gorô Taniguchi
Keiichi Hara
Osamu Sekita
Yoshiyuki Tomino
Jôji Shimura
Toyoo Ashida
Hiromasa Yonebayashi
Minoru Ashina
Masami Hata
Hiroki Shibata
Yasuhiro Yoshiura
Shunsuke Ishikawa
Kengo Saitô
Makoto Bessho
Hidekazu Hara
Kô Matsuo
Shûkô Murase
Masayuki
Satoshi Nishimura
Susumu Mitsunaka
Naoki Miyahara
Osamu Dezaki
